DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
28-Aug-2025,EQ,"2,270.00","2,285.90","2,245.60","2,284.10","2,262.70","2,262.70","2,269.65","3,890.00","2,151.00",698267,"1,58,48,20,313.40",72438
26-Aug-2025,EQ,"2,280.00","2,323.40","2,276.50","2,282.80","2,287.00","2,284.10","2,296.46","3,890.00","2,151.00",1429053,"3,28,17,60,136.30",89506
25-Aug-2025,EQ,"2,295.10","2,310.50","2,270.00","2,299.30","2,287.00","2,282.80","2,286.14","3,890.00","2,151.00",511478,"1,16,93,09,320.60",37980
22-Aug-2025,EQ,"2,355.00","2,359.80","2,294.00","2,350.50","2,296.00","2,299.30","2,314.91","3,890.00","2,151.00",621255,"1,43,81,50,407.80",42736
21-Aug-2025,EQ,"2,356.80","2,368.00","2,333.10","2,356.50","2,350.00","2,350.50","2,349.11","3,890.00","2,151.00",697500,"1,63,85,03,722.00",40360
20-Aug-2025,EQ,"2,270.00","2,365.00","2,265.40","2,273.50","2,362.50","2,356.50","2,333.51","3,890.00","2,151.00",1013700,"2,36,54,78,319.50",55727
19-Aug-2025,EQ,"2,231.90","2,278.00","2,210.10","2,225.00","2,278.00","2,273.50","2,248.34","3,890.00","2,151.00",466365,"1,04,85,47,758.50",36614
18-Aug-2025,EQ,"2,200.00","2,242.90","2,185.60","2,154.00","2,222.00","2,225.00","2,222.56","3,890.00","2,151.00",685912,"1,52,44,82,575.40",41409
14-Aug-2025,EQ,"2,171.50","2,183.00","2,151.00","2,171.70","2,152.00","2,154.00","2,162.61","3,890.00","2,151.00",609379,"1,31,78,48,058.40",40682
13-Aug-2025,EQ,"2,210.00","2,210.00","2,157.00","2,201.60","2,169.80","2,171.70","2,171.82","3,890.00","2,157.00",784548,"1,70,38,97,845.20",44034
12-Aug-2025,EQ,"2,210.00","2,232.90","2,196.60","2,212.40","2,198.80","2,201.60","2,208.23","3,890.00","2,194.00",266482,"58,84,54,313.10",27873
11-Aug-2025,EQ,"2,207.90","2,220.10","2,197.10","2,207.40","2,213.00","2,212.40","2,210.43","3,890.00","2,194.00",338195,"74,75,54,787.50",21871
08-Aug-2025,EQ,"2,240.40","2,245.00","2,204.00","2,240.30","2,208.00","2,207.40","2,222.23","3,890.00","2,194.00",364214,"80,93,68,855.60",20225
07-Aug-2025,EQ,"2,241.10","2,246.20","2,217.10","2,241.00","2,243.00","2,240.30","2,234.50","3,890.00","2,194.00",160148,"35,78,50,985.20",12596
06-Aug-2025,EQ,"2,231.00","2,243.30","2,213.60","2,230.50","2,243.00","2,241.00","2,227.07","3,890.00","2,194.00",631492,"1,40,63,79,041.70",31851
05-Aug-2025,EQ,"2,257.80","2,268.50","2,227.40","2,254.20","2,231.80","2,230.50","2,238.00","3,890.00","2,194.00",369067,"82,59,72,735.10",25256
04-Aug-2025,EQ,"2,258.00","2,263.40","2,235.10","2,258.00","2,257.80","2,254.20","2,253.59","3,890.00","2,194.00",383404,"86,40,36,254.40",30598
01-Aug-2025,EQ,"2,248.00","2,286.50","2,240.70","2,245.30","2,258.00","2,258.00","2,259.99","3,890.00","2,194.00",605397,"1,36,81,88,165.40",35626
31-Jul-2025,EQ,"2,220.00","2,260.00","2,212.30","2,237.10","2,241.30","2,245.30","2,241.42","3,890.00","2,194.00",671856,"1,50,59,10,561.30",60998
30-Jul-2025,EQ,"2,222.00","2,240.00","2,206.80","2,215.00","2,238.00","2,237.10","2,225.25","3,890.00","2,194.00",875237,"1,94,76,23,384.90",44423
29-Jul-2025,EQ,"2,207.90","2,222.90","2,194.00","2,205.80","2,216.90","2,215.00","2,211.60","3,890.00","2,194.00",1047287,"2,31,61,82,766.10",59161
